CITY,Lat,Long,Elevation,Month,Year,city_max_day_rain,city_month_total_rain,city_avg_daily_rain,Anomalypct,Anomaly
Bridgewater,40.626247,-74.653535,32.9,1,2011,1.25,3.18,0.106,0.393081761,N
Bridgewater,40.626247,-74.653535,32.9,1,2012,1.1,3.05,0.098387097,0.360655738,N
Bridgewater,40.626247,-74.653535,32.9,1,2013,1.16,2.62,0.084516129,0.442748092,N
Bridgewater,40.626247,-74.653535,32.9,1,2014,0.58,2.99,0.096451613,0.193979933,N
Bridgewater,40.626247,-74.653535,32.9,1,2015,1.69,4.26,0.137419355,0.396713615,N
Bridgewater,40.626247,-74.653535,32.9,1,2016,1.45,1.93,0.071481481,0.751295337,Y
Bridgewater,40.626247,-74.653535,32.9,1,2017,1.41,3.69,0.119032258,0.382113821,N
Bridgewater,40.626247,-74.653535,32.9,1,2018,2.01,3.5,0.112903226,0.574285714,N
Bridgewater,40.626247,-74.653535,32.9,1,2019,1.31,5.16,0.166451613,0.253875969,N
Bridgewater,40.626247,-74.653535,32.9,1,2020,1.2,1.99,0.064193548,0.603015075,N
Bridgewater,40.626247,-74.653535,32.9,1,2021,0.81,2.16,0.069677419,0.375,N
Bridgewater,40.626247,-74.653535,32.9,1,2022,1.4,3.22,0.107333333,0.434782609,N
Bridgewater,40.626247,-74.653535,32.9,2,2011,0.72,2.77,0.098928571,0.259927798,N
Bridgewater,40.626247,-74.653535,32.9,2,2012,0.31,1.08,0.037241379,0.287037037,N
Bridgewater,40.626247,-74.653535,32.9,2,2013,0.88,2.58,0.092142857,0.341085271,N
Bridgewater,40.626247,-74.653535,32.9,2,2014,1.3,4.94,0.176428571,0.263157895,N
Bridgewater,40.626247,-74.653535,32.9,2,2015,0.99,2.18,0.077857143,0.45412844,N
Bridgewater,40.626247,-74.653535,32.9,2,2016,1.55,4.31,0.14862069,0.35962877,N
Bridgewater,40.626247,-74.653535,32.9,2,2017,0.5,1.93,0.068928571,0.259067358,N
Bridgewater,40.626247,-74.653535,32.9,2,2018,0.87,5.33,0.190357143,0.163227017,N
Bridgewater,40.626247,-74.653535,32.9,2,2019,0.85,3.26,0.116428571,0.260736196,N
Bridgewater,40.626247,-74.653535,32.9,2,2020,0.8,3.37,0.116206897,0.237388724,N
Bridgewater,40.626247,-74.653535,32.9,2,2021,1.44,5.09,0.181785714,0.282907662,N
Bridgewater,40.626247,-74.653535,32.9,2,2022,0.73,3.08,0.11,0.237012987,N
Bridgewater,40.626247,-74.653535,32.9,3,2011,2.28,6.08,0.202666667,0.375,N
Bridgewater,40.626247,-74.653535,32.9,3,2012,0.61,1.79,0.057741935,0.340782123,N
Bridgewater,40.626247,-74.653535,32.9,3,2013,0.66,2.11,0.068064516,0.312796209,N
Bridgewater,40.626247,-74.653535,32.9,3,2014,1.81,3.22,0.103870968,0.562111801,N
Bridgewater,40.626247,-74.653535,32.9,3,2015,0.82,4.59,0.148064516,0.178649237,N
Bridgewater,40.626247,-74.653535,32.9,3,2016,0.33,1.41,0.045483871,0.234042553,N
Bridgewater,40.626247,-74.653535,32.9,3,2017,0.99,3.98,0.128387097,0.248743719,N
Bridgewater,40.626247,-74.653535,32.9,3,2018,1.47,4.37,0.140967742,0.336384439,N
Bridgewater,40.626247,-74.653535,32.9,3,2019,1.18,3.85,0.124193548,0.306493506,N
Bridgewater,40.626247,-74.653535,32.9,3,2020,1.02,3.38,0.109032258,0.301775148,N
Bridgewater,40.626247,-74.653535,32.9,3,2021,1.34,3.73,0.120322581,0.35924933,N
Bridgewater,40.626247,-74.653535,32.9,3,2022,0.51,2.25,0.097826087,0.226666667,N
Bridgewater,40.626247,-74.653535,32.9,4,2011,2.49,7.66,0.255333333,0.325065274,N
Bridgewater,40.626247,-74.653535,32.9,4,2012,1.97,2.6,0.086666667,0.757692308,Y
Bridgewater,40.626247,-74.653535,32.9,4,2013,0.76,2.7,0.09,0.281481481,N
Bridgewater,40.626247,-74.653535,32.9,4,2014,1.34,3.65,0.121666667,0.367123288,N
Bridgewater,40.626247,-74.653535,32.9,4,2015,1.29,2.06,0.068666667,0.626213592,N
Bridgewater,40.626247,-74.653535,32.9,4,2016,0.34,1.65,0.055,0.206060606,N
Bridgewater,40.626247,-74.653535,32.9,4,2017,1.24,4.14,0.138,0.299516908,N
Bridgewater,40.626247,-74.653535,32.9,4,2018,1.37,4.4,0.146666667,0.311363636,N
Bridgewater,40.626247,-74.653535,32.9,4,2019,1.05,4.74,0.158,0.221518987,N
Bridgewater,40.626247,-74.653535,32.9,4,2020,1.37,4.19,0.139666667,0.326968974,N
Bridgewater,40.626247,-74.653535,32.9,4,2021,1.3,2.78,0.092666667,0.467625899,N
Bridgewater,40.626247,-74.653535,32.9,4,2022,2.4,6.19,0.412666667,0.387722132,N
Bridgewater,40.626247,-74.653535,32.9,5,2011,0.94,4.37,0.140967742,0.215102975,N
Bridgewater,40.626247,-74.653535,32.9,5,2012,0.8,4.09,0.131935484,0.195599022,N
Bridgewater,40.626247,-74.653535,32.9,5,2013,1.18,4.52,0.145806452,0.261061947,N
Bridgewater,40.626247,-74.653535,32.9,5,2014,3.47,5.97,0.192580645,0.581239531,N
Bridgewater,40.626247,-74.653535,32.9,5,2015,0.61,1.17,0.037741935,0.521367521,N
Bridgewater,40.626247,-74.653535,32.9,5,2016,0.82,3.59,0.115806452,0.228412256,N
Bridgewater,40.626247,-74.653535,32.9,5,2017,1.26,6.03,0.194516129,0.208955224,N
Bridgewater,40.626247,-74.653535,32.9,5,2018,0.97,5.09,0.164193548,0.190569745,N
Bridgewater,40.626247,-74.653535,32.9,5,2019,1.68,11.73,0.378387097,0.143222506,N
Bridgewater,40.626247,-74.653535,32.9,5,2020,2.84,5.01,0.161612903,0.566866267,N
Bridgewater,40.626247,-74.653535,32.9,5,2021,1.86,4.8,0.15483871,0.3875,N
Bridgewater,40.626247,-74.653535,32.9,5,2022,1.28,5.77,0.443846154,0.221837088,N
Bridgewater,40.626247,-74.653535,32.9,6,2011,1.01,2.91,0.097,0.347079038,N
Bridgewater,40.626247,-74.653535,32.9,6,2012,1.45,3.65,0.121666667,0.397260274,N
Bridgewater,40.626247,-74.653535,32.9,6,2013,2.77,10.2,0.34,0.271568627,N
Bridgewater,40.626247,-74.653535,32.9,6,2014,1.08,4.1,0.136666667,0.263414634,N
Bridgewater,40.626247,-74.653535,32.9,6,2015,2,6.92,0.230666667,0.289017341,N
Bridgewater,40.626247,-74.653535,32.9,6,2016,0.65,1.98,0.066,0.328282828,N
Bridgewater,40.626247,-74.653535,32.9,6,2017,1.83,4.14,0.138,0.442028986,N
Bridgewater,40.626247,-74.653535,32.9,6,2018,0.75,3.57,0.119,0.210084034,N
Bridgewater,40.626247,-74.653535,32.9,6,2019,2.21,5.51,0.183666667,0.401088929,N
Bridgewater,40.626247,-74.653535,32.9,6,2020,1.81,3.3,0.11,0.548484848,N
Bridgewater,40.626247,-74.653535,32.9,6,2021,1.98,4.16,0.138666667,0.475961538,N
Bridgewater,40.626247,-74.653535,32.9,6,2022,1.2,1.89,0.23625,0.634920635,N
Bridgewater,40.626247,-74.653535,32.9,7,2011,1.37,3.19,0.102903226,0.429467085,N
Bridgewater,40.626247,-74.653535,32.9,7,2012,0.98,4.33,0.139677419,0.226327945,N
Bridgewater,40.626247,-74.653535,32.9,7,2013,2.71,6.7,0.216129032,0.404477612,N
Bridgewater,40.626247,-74.653535,32.9,7,2014,1.75,5.09,0.164193548,0.343811395,N
Bridgewater,40.626247,-74.653535,32.9,7,2015,0.33,1.83,0.059032258,0.180327869,N
Bridgewater,40.626247,-74.653535,32.9,7,2016,1.12,5.09,0.169666667,0.220039293,N
Bridgewater,40.626247,-74.653535,32.9,7,2017,1.21,5.99,0.193225806,0.202003339,N
Bridgewater,40.626247,-74.653535,32.9,7,2018,1.32,5.56,0.179354839,0.237410072,N
Bridgewater,40.626247,-74.653535,32.9,7,2019,1.74,5.7,0.183870968,0.305263158,N
Bridgewater,40.626247,-74.653535,32.9,7,2020,3.19,7.95,0.256451613,0.401257862,N
Bridgewater,40.626247,-74.653535,32.9,7,2021,2.04,6.67,0.21516129,0.305847076,N
Bridgewater,40.626247,-74.653535,32.9,8,2011,7.15,17.89,0.577096774,0.399664617,N
Bridgewater,40.626247,-74.653535,32.9,8,2012,1.57,4.18,0.13483871,0.375598086,N
Bridgewater,40.626247,-74.653535,32.9,8,2013,1.35,4.2,0.135483871,0.321428571,N
Bridgewater,40.626247,-74.653535,32.9,8,2014,1.65,1.95,0.062903226,0.846153846,Y
Bridgewater,40.626247,-74.653535,32.9,8,2015,0.73,1.88,0.060645161,0.388297872,N
Bridgewater,40.626247,-74.653535,32.9,8,2016,0.83,3.49,0.112580645,0.23782235,N
Bridgewater,40.626247,-74.653535,32.9,8,2017,1.28,4.81,0.15516129,0.266112266,N
Bridgewater,40.626247,-74.653535,32.9,8,2018,2.36,7.93,0.255806452,0.297604035,N
Bridgewater,40.626247,-74.653535,32.9,8,2019,1.71,6.59,0.212580645,0.259484067,N
Bridgewater,40.626247,-74.653535,32.9,8,2020,1.75,6.8,0.219354839,0.257352941,N
Bridgewater,40.626247,-74.653535,32.9,8,2021,4.59,8.56,0.285333333,0.536214953,N
Bridgewater,40.626247,-74.653535,32.9,9,2011,2.95,8.74,0.291333333,0.337528604,N
Bridgewater,40.626247,-74.653535,32.9,9,2012,0.89,2.92,0.097333333,0.304794521,N
Bridgewater,40.626247,-74.653535,32.9,9,2013,1.4,2.76,0.092,0.507246377,N
Bridgewater,40.626247,-74.653535,32.9,9,2014,0.5,1.61,0.053666667,0.310559006,N
Bridgewater,40.626247,-74.653535,32.9,9,2015,1.13,2.17,0.072333333,0.520737327,N
Bridgewater,40.626247,-74.653535,32.9,9,2016,0.39,1.18,0.039333333,0.330508475,N
Bridgewater,40.626247,-74.653535,32.9,9,2017,0.54,1.38,0.046,0.391304348,N
Bridgewater,40.626247,-74.653535,32.9,9,2018,1.57,6.9,0.23,0.227536232,N
Bridgewater,40.626247,-74.653535,32.9,9,2019,0.64,0.91,0.030333333,0.703296703,Y
Bridgewater,40.626247,-74.653535,32.9,9,2020,2.47,4.93,0.164333333,0.501014199,N
Bridgewater,40.626247,-74.653535,32.9,9,2021,8.63,11.83,0.394333333,0.729501268,Y
Bridgewater,40.626247,-74.653535,32.9,10,2011,1.45,4.25,0.137096774,0.341176471,N
Bridgewater,40.626247,-74.653535,32.9,10,2012,2.08,5.73,0.18483871,0.363001745,N
Bridgewater,40.626247,-74.653535,32.9,10,2013,0.42,0.62,0.02,0.677419355,N
Bridgewater,40.626247,-74.653535,32.9,10,2014,1.72,3.98,0.128387097,0.432160804,N
Bridgewater,40.626247,-74.653535,32.9,10,2015,2.26,4.15,0.133870968,0.544578313,N
Bridgewater,40.626247,-74.653535,32.9,10,2016,0.49,1.28,0.041290323,0.3828125,N
Bridgewater,40.626247,-74.653535,32.9,10,2017,4.01,5.71,0.184193548,0.702276708,Y
Bridgewater,40.626247,-74.653535,32.9,10,2018,2.3,3.75,0.125,0.613333333,N
Bridgewater,40.626247,-74.653535,32.9,10,2019,1.73,5.38,0.179333333,0.321561338,N
Bridgewater,40.626247,-74.653535,32.9,10,2020,1.62,3.99,0.128709677,0.406015038,N
Bridgewater,40.626247,-74.653535,32.9,10,2021,2.5,5.39,0.173870968,0.463821892,N
Bridgewater,40.626247,-74.653535,32.9,11,2011,1.98,3.96,0.132,0.5,N
Bridgewater,40.626247,-74.653535,32.9,11,2012,0.38,0.93,0.031,0.408602151,N
Bridgewater,40.626247,-74.653535,32.9,11,2013,2.57,3.54,0.118,0.725988701,Y
Bridgewater,40.626247,-74.653535,32.9,11,2014,0.97,3.95,0.131666667,0.24556962,N
Bridgewater,40.626247,-74.653535,32.9,11,2015,1.37,1.84,0.061333333,0.744565217,Y
Bridgewater,40.626247,-74.653535,32.9,11,2016,1.71,2.46,0.082,0.695121951,N
Bridgewater,40.626247,-74.653535,32.9,11,2017,0.43,1.07,0.035666667,0.401869159,N
Bridgewater,40.626247,-74.653535,32.9,11,2018,2.08,8.17,0.272333333,0.254589963,N
Bridgewater,40.626247,-74.653535,32.9,11,2019,1.1,2.59,0.089310345,0.424710425,N
Bridgewater,40.626247,-74.653535,32.9,11,2020,0.96,3.13,0.104333333,0.306709265,N
Bridgewater,40.626247,-74.653535,32.9,11,2021,0.55,1.22,0.040666667,0.450819672,N
Bridgewater,40.626247,-74.653535,32.9,12,2011,2.16,4.16,0.134193548,0.519230769,N
Bridgewater,40.626247,-74.653535,32.9,12,2012,1.56,5.33,0.171935484,0.292682927,N
Bridgewater,40.626247,-74.653535,32.9,12,2013,1.17,4.32,0.139354839,0.270833333,N
Bridgewater,40.626247,-74.653535,32.9,12,2014,0.99,4.27,0.137741935,0.231850117,N
Bridgewater,40.626247,-74.653535,32.9,12,2015,1.03,4.27,0.137741935,0.241217799,N
Bridgewater,40.626247,-74.653535,32.9,12,2016,1.29,4.15,0.133870968,0.310843373,N
Bridgewater,40.626247,-74.653535,32.9,12,2017,0.46,1.55,0.05,0.296774194,N
Bridgewater,40.626247,-74.653535,32.9,12,2018,1.61,5.51,0.177741935,0.292196007,N
Bridgewater,40.626247,-74.653535,32.9,12,2019,0.84,5.22,0.168387097,0.16091954,N
Bridgewater,40.626247,-74.653535,32.9,12,2020,2.49,6.84,0.220645161,0.364035088,N
Bridgewater,40.626247,-74.653535,32.9,12,2021,0.56,2.08,0.067096774,0.269230769,N
New Brunswick,40.4896492,-74.4408766,12.5,1,2011,1.65,3.68,0.122666667,0.448369565,N
New Brunswick,40.4896492,-74.4408766,12.5,1,2012,1.57,2.73,0.21,0.575091575,N
New Brunswick,40.4896492,-74.4408766,12.5,1,2013,0.84,2.48,0.107826087,0.338709677,N
New Brunswick,40.4896492,-74.4408766,12.5,1,2014,0.47,2.39,0.0956,0.19665272,N
New Brunswick,40.4896492,-74.4408766,12.5,1,2015,1.9,3.63,0.129642857,0.523415978,N
New Brunswick,40.4896492,-74.4408766,12.5,1,2016,1.67,2.69,0.089666667,0.620817844,N
New Brunswick,40.4896492,-74.4408766,12.5,1,2017,1.77,4.81,0.171785714,0.367983368,N
New Brunswick,40.4896492,-74.4408766,12.5,1,2018,0.53,1.24,0.042758621,0.427419355,N
New Brunswick,40.4896492,-74.4408766,12.5,1,2019,1.8,4.9,0.163333333,0.367346939,N
New Brunswick,40.4896492,-74.4408766,12.5,1,2020,1.2,1.88,0.064827586,0.638297872,N
New Brunswick,40.4896492,-74.4408766,12.5,1,2021,0.89,2.1,0.072413793,0.423809524,N
New Brunswick,40.4896492,-74.4408766,12.5,1,2022,1.5,4.34,0.14,0.34562212,N
New Brunswick,40.4896492,-74.4408766,12.5,2,2011,0.76,1.68,0.088421053,0.452380952,N
New Brunswick,40.4896492,-74.4408766,12.5,2,2012,0.21,0.6,0.024,0.35,N
New Brunswick,40.4896492,-74.4408766,12.5,2,2013,1.01,2.94,0.1176,0.343537415,N
New Brunswick,40.4896492,-74.4408766,12.5,2,2014,1.27,5.39,0.234347826,0.235621521,N
New Brunswick,40.4896492,-74.4408766,12.5,2,2015,1.15,2.55,0.102,0.450980392,N
New Brunswick,40.4896492,-74.4408766,12.5,2,2016,1.6,4.6,0.164285714,0.347826087,N
New Brunswick,40.4896492,-74.4408766,12.5,2,2017,0.68,1.45,0.055769231,0.468965517,N
New Brunswick,40.4896492,-74.4408766,12.5,2,2018,1.13,6.7,0.239285714,0.168656716,N
New Brunswick,40.4896492,-74.4408766,12.5,2,2019,0.94,3.39,0.121071429,0.277286136,N
New Brunswick,40.4896492,-74.4408766,12.5,2,2020,0.66,2.91,0.100344828,0.226804124,N
New Brunswick,40.4896492,-74.4408766,12.5,2,2021,1.57,5.47,0.195357143,0.28702011,N
New Brunswick,40.4896492,-74.4408766,12.5,2,2022,0.65,3.14,0.112142857,0.207006369,N
New Brunswick,40.4896492,-74.4408766,12.5,3,2011,2.09,5.8,0.241666667,0.360344828,N
New Brunswick,40.4896492,-74.4408766,12.5,3,2012,0.76,1.76,0.088,0.431818182,N
New Brunswick,40.4896492,-74.4408766,12.5,3,2013,0.78,2.19,0.078214286,0.356164384,N
New Brunswick,40.4896492,-74.4408766,12.5,3,2014,2.58,4.32,0.139354839,0.597222222,N
New Brunswick,40.4896492,-74.4408766,12.5,3,2015,0.79,4.89,0.163,0.161554192,N
New Brunswick,40.4896492,-74.4408766,12.5,3,2016,0.34,1.44,0.046451613,0.236111111,N
New Brunswick,40.4896492,-74.4408766,12.5,3,2017,0.87,3.51,0.121034483,0.247863248,N
New Brunswick,40.4896492,-74.4408766,12.5,3,2018,1.68,4.79,0.165172414,0.350730689,N
New Brunswick,40.4896492,-74.4408766,12.5,3,2019,1.4,4.28,0.138064516,0.327102804,N
New Brunswick,40.4896492,-74.4408766,12.5,3,2020,1.16,4.33,0.144333333,0.267898383,N
New Brunswick,40.4896492,-74.4408766,12.5,3,2021,0.97,2.89,0.093225806,0.335640138,N
New Brunswick,40.4896492,-74.4408766,12.5,3,2022,0.57,2.57,0.082903226,0.221789883,N
New Brunswick,40.4896492,-74.4408766,12.5,4,2011,2.64,3.86,0.183809524,0.683937824,N
New Brunswick,40.4896492,-74.4408766,12.5,4,2012,0.33,0.56,0.028,0.589285714,N
New Brunswick,40.4896492,-74.4408766,12.5,4,2013,0.88,2.29,0.081785714,0.384279476,N
New Brunswick,40.4896492,-74.4408766,12.5,4,2014,0.77,2.92,0.104285714,0.26369863,N
New Brunswick,40.4896492,-74.4408766,12.5,4,2015,1.32,2.24,0.093333333,0.589285714,N
New Brunswick,40.4896492,-74.4408766,12.5,4,2016,0.32,1.4,0.05,0.228571429,N
New Brunswick,40.4896492,-74.4408766,12.5,4,2017,1.59,5.54,0.184666667,0.28700361,N
New Brunswick,40.4896492,-74.4408766,12.5,4,2018,1.83,5.05,0.174137931,0.362376238,N
New Brunswick,40.4896492,-74.4408766,12.5,4,2019,0.87,3.96,0.132,0.21969697,N
New Brunswick,40.4896492,-74.4408766,12.5,4,2020,0.86,3.47,0.123928571,0.247838617,N
New Brunswick,40.4896492,-74.4408766,12.5,4,2021,0.72,2.34,0.078,0.307692308,N
New Brunswick,40.4896492,-74.4408766,12.5,4,2022,1.34,4.93,0.164333333,0.271805274,N
New Brunswick,40.4896492,-74.4408766,12.5,5,2011,0.62,2,0.068965517,0.31,N
New Brunswick,40.4896492,-74.4408766,12.5,5,2012,0.84,3.35,0.145652174,0.250746269,N
New Brunswick,40.4896492,-74.4408766,12.5,5,2013,1.7,4.41,0.147,0.385487528,N
New Brunswick,40.4896492,-74.4408766,12.5,5,2014,4.1,6.19,0.206333333,0.662358643,N
New Brunswick,40.4896492,-74.4408766,12.5,5,2015,0.54,0.95,0.030645161,0.568421053,N
New Brunswick,40.4896492,-74.4408766,12.5,5,2016,1.48,4.34,0.14,0.341013825,N
New Brunswick,40.4896492,-74.4408766,12.5,5,2017,1.68,6.67,0.21516129,0.251874063,N
New Brunswick,40.4896492,-74.4408766,12.5,5,2018,1.38,6.1,0.196774194,0.226229508,N
New Brunswick,40.4896492,-74.4408766,12.5,5,2019,1.09,7.12,0.229677419,0.153089888,N
New Brunswick,40.4896492,-74.4408766,12.5,5,2020,0.71,2.95,0.098333333,0.240677966,N
New Brunswick,40.4896492,-74.4408766,12.5,5,2021,1.61,4.12,0.132903226,0.390776699,N
